"","x"
"144","RT @rcp01: Não adianta! Quanto mais batem, mais Jair BOLSONARO se AGIGANTA!! https://t.co/0RJ3ZQsphm"
"145","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"146","RT @GABRlELPlNHElRO: Bolsonaro em enterro de policial que morreu em serviço https://t.co/gFpskUC2IX"
"147","RT @BlogdoNoblat: E o deputado Jair Bolsonaro, hein? Como vai indo?"
"148","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
"149","RT @neusamandrade: Bolsonaro pode até não ser o mito, mas já tá fazendo milagre colocando gente pra finalmente aprender o gosto de trabalha…"
"150","RT @jose_simao: Bolsonaro contrata exorcista para se livrar de funcionária fantasma! @revistapiaui https://t.co/Njarmf7DWi"
"151","RT @ajulysantos: Tenho muitos amigos que apoiam Jair Bolsonaro e fiz muitos amigos apoiando Jair Bolsonaro. Espero não perdê-los!"
"152","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"153","RT @GraaVieira: Frota chama Sheherazade de ‘prostituta’ no twitter após ataques a Bolsonaro Mais umazinha só! Não resisto quando vejo fasci…"
"154","@ClaGentilli Ele não é o salvador da Pátria como ele mesmo com sua humildade disse, mais é o único que está muito l… https://t.co/7d9iyqxCmW"
"155","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"156","RT @SaoBlack: @Estadao @veramagalhaes A opinião da Vera do Aecim não vale mais do que minha pinscher descome. Uma jornas que não sabia q já…"
"157","RT @rcp01: Bolsonaro contra todos https://t.co/AXqibX3gM2"
"158","RT @visaomacro: Gastos com Passagens Aéreas dos Deputados em 2017

Entrei no site da Câmara e procurei a planilha com os gastos dos deputad…"
"159","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"160","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"161","RT @braunermegda: ah pronto, tem eleitor do bolsonaro brigando nas minhas mentions

vou twittar agora de uma maneira pra q eles entendam: O…"
"162","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"163","@bchartsnet @pmiau_13 Eu goxxxxto assim quando os  ratos começaram a brigar entre si.
(Raquel e Bolsonaro são ratos do mesmo esgoto)"
"164","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"165","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"166","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"167","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
